County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Erie,Kwilos Farm Farm Stand,7678 Erie Rd.  Derby,7678 Erie Rd.,Derby,NY,14074,Joseph Kwilos,7165496201,,"Mon-Sat  10am-6pm, Sunday  10am-4pm",May 8-October 31,P/M,Y,N,N,Y,42.67729,-79.02178,"(42.67729, -79.02178)"
Oswego,B30 Farm Farm Stand,676 Baldwin Road Fulton,676 Baldwin Road,Fulton,NY,13069,Timothy F. Moshier,3154399991,,Monday 1pm-6pm,Year-round,YR,Y,N,N,Y,43.38285,-76.34859,"(43.38285, -76.34859)"
Steuben,Bath Wednesday Farmers' Market,Pulteney Square Park Steuben St.,Steuben St and Liberty St,Bath,NY,14810,Hazel Buck,6077943494,http://www.facebook.com/bathnyfarmersmarket/,Wednesday  9am-2pm,May 6-October 28,P/M,Y,Y,N,Y,42.33353,-77.31842,"(42.33353, -77.31842)"
New York,Union Square Monday Greenmarket,"31 Union Square W, NW side of Park",Broadway and East 17th St,New York,NY,10003,Siobahn Keys,2127887476,https://www.grownyc.org/greenmarket/manhattan-union-square-w,Monday  8am-6pm,Year-round,YR,Y,Y,N,Y,40.73712,-73.99029,"(40.73712, -73.99029)"
Monroe,Curbside Market-Kennedy Towers,666 South Plymouth Ave. Rochester,666 South Plymouth Ave,Rochester,NY,14608,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Mon 3:30pm-4:45pm,July 6-December 14,M/X,Y,Y,N,Y,43.14251,-77.61894,"(43.14251, -77.61894)"
Seneca,Stoltzfus Farm Stand,1842 State Route 96A Ovid,1842 State Route 96A,Ovid,NY,14521,Reuben Stoltzfus,6078694847,,"Mon-Fri 8am-7pm, Saturday 8am-5pm",May 1-October 31,M,Y,N,N,Y,43.78189,-75.47601,"(43.78189, -75.47601)"
Suffolk,Montauk Farmers' Market,Village Green 743 Montauk Hwy,742 Montauk Hwy,Montauk,NY,11954,Laraine Creegan,6316682355,http://www.facebook.com/montaukfarmersmarket,Thur 9am-2pm,June 11-September 10,M,Y,N,N,Y,41.03436,-71.94424,"(41.03436, -71.94424)"
Dutchess,Hudson Valley Farmers Market,227 Pitcher Lane Red Hook,227 Pitcher Lane,Red Hook,NY,12571,Norman Greig,9144742404,,Saturday 9am-3pm,Year-round,YR,Y,N,N,Y,42.02825,-73.8549,"(42.02825, -73.8549)"
Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amy Willis,6077728953,http://www.broomecountyregionalmarket.com,Saturday  9am-1pm,Year-round,YR,Y,Y,Y,Y,42.12921,-75.90609,"(42.12921, -75.90609)"
Chenango,Norwich WINTER Farmers' Market,75 N Broad St.,20 Conkey Avenue,Norwich,NY,13815,Drew Piaschyk,6073344928,https://www.facebook.com/NorwichNYFarmersMarket,Wednesday  10am-2pm,December 2-April 28 2021,X/W/P,N,Y,N,Y,42.5272,-75.52482,"(42.5272, -75.52482)"
Erie,Downtown Buffalo Country Thursday Market,350 Main St. outside btwn Court & Church Streets,350 Main St. outside btwn Court & Church Streets,Buffalo,NY,14203,Taylor Potenza,7168563150,https://buffaloplace.com/play/our-events/#countrymarket,Thu  10am-2:30pm,May 14-October 22,P/M,Y,Y,N,Y,42.8844,-78.8754,"(42.8844, -78.8754)"
Columbia,New Lebanon WINTER Farmers Market,LVPA Firehouse Routes 20 &22 New Lebanon,route 20 &22 New Lebanon,New Lebanon,NY,12125,Chelsea Vigue,5083173502,https://www.facebook.com/newlebanonfarmersmarket/,every 3rd Sunday 10am-2pm,November 17-May 17,M/X/W/P,N,Y,N,Y,42.46421,-73.39698,"(42.46421, -73.39698)"
Rensselaer,Veggie Mobile-Renwyck Place,18 4th Ave. Rensselaer,18 4th Ave,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 11:30am-12pm,Year-round,YR,Y,Y,Y,Y,42.63925,-73.73936,"(42.63925, -73.73936)"
Queens,NYC Health+Hospitals Farmers' Market-Queens 2,WIC Clinic 114-02 Guy R Brewer Blvd. Jamaica,114-02 Guy R Brewer Blvd,Queens,NY,11434,Sherly Thomas,7188832134,http://www.nychealthandhospitals.org/queens,Tuesday  8am-4pm,July 21-November 23,M,Y,N,N,Y,40.68851,-73.78588,"(40.68851, -73.78588)"
New York,Harvest Home Harlem Hospital Farmers' Market,"506 Lenox Ave. , Btwn W 135th & W 137th Sts.",137th Street and Lennox Avenue,New York,NY,10037,Maritza Owens,2128283361,http://www.harvesthomefm.org,Friday  8am-6pm,June 5-November 20,M,Y,Y,N,Y,40.81539,-73.93985,"(40.81539, -73.93985)"
Nassau,Anna House Farm Stand at Belmont Park,"2150 Hempstead Tpke Elmont, Gate 6 driveway",2150 Hempstead Turnpike,Elmont,NY,11003,Eleanor Poppe,5164285267,http://www.rtcany.org,Tuesday  11am-2pm,July 2-October 27,M,Y,N,N,Y,40.70922,-73.7216,"(40.70922, -73.7216)"
Delaware,Covered Bridge Farm Market,309 Covered Bridge Rd,309 Covered Bridge Rd,Unadilla,NY,13849,Erin Johnson,9147992078,,Daily 10am-6pm,July 10-October 31,M,Y,N,N,Y,42.33657,-75.28612,"(42.33657, -75.28612)"
Monroe,Curbside Market-Plymouth Gardens,1400 S Plymouth Ave. Rochester,1400 S Plymouth Ave.,Rochester,NY,14611,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Fri 11:30am-1pm,July 10-December 18,M/X,Y,Y,N,Y,43.13192,-77.6339,"(43.13192, -77.6339)"
Onondaga,Baltimore Woods WINTER Farmers' Market,"Baltimore Woods Nature Center, 4007 Bishop Hill Road",4007 Bishop Hill Road,Marcellus,NY,13108,Sue Jones,3156731350,https://www.facebook.com/winterfarmersmarketatbaltimorewoods/,2nd Saturday  10am-1pm,November-April,M/X/W/P,N,N,N,Y,42.964885,-76.344609,"(42.964885, -76.344609)"
Jefferson,Carthage Farmers' Market,"Farmers Market Pavilion , 150 Riverside Dr. (behind Carthage Rescue Squad)",150 Riverside Drive,Carthage,NY,13619,Jeanette Turner,3154933590,http://www.carthageny.com,Friday  7am-2pm,May 29-October 9,P/M,Y,N,N,Y,43.97714,-75.61247,"(43.97714, -75.61247)"
Bronx,Poe Park Greenmarket,2580 Grand Concourse at Valentine Ave.,2580 Grand Concourse,Bronx,NY,10458,Siobahn Keys,2127887476,https://www.grownyc.org/,Tuesday  8am-3pm,June 30-November 24,M,Y,Y,N,Y,40.86412,-73.8955,"(40.86412, -73.8955)"
Queens,Forest Hills Greenmarket,10628 Queens Blvd. at 70th Ave. near Post Office,106-28 Queens Blvd.,Queens,NY,11375,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/queens/forest-hills,Sunday  8am-2pm,Year-Round,YR,Y,Y,N,Y,40.72193,-73.84676,"(40.72193, -73.84676)"
Sullivan,Sullivan Fresh Market on the Move-S.Fallsburg,19 Railroad Plaza South Fallsburg,19 Railroad Plaza,South Fallsburg,NY,12779,Michelle Proscia,8452926180,http://www.sullivancce.org,Thursday 2:30pm-4:30pm,July 2-October 1,M,Y,Y,N,Y,41.70828,-74.6297,"(41.70828, -74.6297)"
Queens,Queens County Farm-Jamaica Hospital Farm Stand,134-20 Jamaica Avenue Richmond Hill,134-20 Jamaica Avenue,Richmond Hill,NY,11418,Anne Mastrogiacomo,7183473276,http://www.queensfarm.org,Friday 10:30am-3:30pm,July 10-November 6,M,Y,N,N,Y,40.70134,-73.81631,"(40.70134, -73.81631)"
Warren,Glens Falls Farmers' Market,South Street Market Pavilion,25 South Street,Glens Falls,NY,12801,Richard Sandora,5187920438,http://www.gffma.com,Saturday  8am-12pm,May 2-October 31,P/M,Y,Y,Y,Y,43.3099,-73.64699,"(43.3099, -73.64699)"
Chautauqua,Dunkirk Farmers' Market,Dunkirk Senior Center 45 Cliffstar Court,45 Cliffstar Court,Dunkirk,NY,14048,Edward Hayes,7163669876,http://www.dunkirktoday.com,Wednesday  9am-2pm,June 10-October 14,M,Y,Y,N,Y,42.48481,-79.32751,"(42.48481, -79.32751)"
Bronx,Lincoln Hospital Tue Greenmarket,234 E. 149th St btwn Park and Morris Aves Bronx,East 149th St and Morris Ave,Bronx,NY,10451,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-3pm,June 30-November 24,M,Y,Y,N,Y,40.81739,-73.92274,"(40.81739, -73.92274)"
Kings,Brooklyn Borough Hall Saturday Greenmarket,Suspended for Covid  211 Montague St. Supreme Court Plaza,Court St and Montague St,Brooklyn,NY,11201,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Saturday 8am-4pm,Year-round,YR,Y,Y,N,Y,40.69374,-73.99043,"(40.69374, -73.99043)"
Schenectady,Veggie Mobile-Hometown Health Ctr,1044 State Street Schenectady,1044 State Street,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon 2pm-2:45pm,Year-round,YR,Y,Y,Y,Y,42.8014,-73.9278,"(42.8014, -73.9278)"
Otsego,Oneonta WINTER Farmers' Market,"Main St. Parking Garage Walkway, near Latte Lounge, 196 Main St.",196 Main Street,Oneonta,NY,13820,Betty Lee,6072671807,http://www.oneontafarmersmarket.com,Saturday  9am-12pm,Nov 2-April 25,X/W/P,N,N,N,Y,42.45397,-75.06188,"(42.45397, -75.06188)"
Onondaga,Central NY Sunday Regional Market Authority,2100 Park St. Syracuse,2100 Park Street,Syracuse,NY,13208,Amanda Vitale,3154228647,http://www.cnyrma.com,Sunday  7am-2pm,Year-round,YR,Y,Y,Y,Y,43.07269,-76.16835,"(43.07269, -76.16835)"
Franklin,JCEO MM-Westville Corners,Intersection of Rte 37 & 122 Westville,Rte 37 & 122,Westville,NY,12926,Richard LaVigne,5183194028,http://www.jceo.org,Tue 10am-12pm,June 9-October 13,M,Y,Y,N,Y,44.94404,-74.39536,"(44.94404, -74.39536)"
Orange,West Point/Town of Highlands Farmers' Market,"Main St. Municipal lot Highland Falls, across from Visitor's Center",Main St and Cozzens Ave,Highlands,NY,10928,Joanne Devereaux,8454462459,http://www.facebook.com/WPTOHfarmersmarket/,Sunday  9am-2pm,June 14-October 28,M,Y,N,N,Y,41.3723,-73.96434,"(41.3723, -73.96434)"
Nassau,The Napolitano Family Farm Stand,3434 Hempstead Turnpike Levittown,3434 Hempstead Turnpike,Levittown,NY,11756,Daniel Napolitano,6462834682,http://www.napolitanofamilyfarm.com,Saturday 10am-2pm,June 13-September 26,M,Y,N,N,Y,40.72556,-73.50916,"(40.72556, -73.50916)"
Kings,Saratoga Farm Stand,1965-1971 Fulton St. Brooklyn,1965 Fulton Street,Brooklyn,NY,11233,Melony Samuels,7187733551,https://www.tcahnyc.org/,Saturday  9am-2pm,July 6-November 21,M,Y,Y,N,Y,40.67849,-73.9162,"(40.67849, -73.9162)"
Chenango,Pires Farmers' Market,6066 State Hwy 12  Norwich,6066 State Highway 12,Norwich,NY,13815,Richard Williams,6073342676,,"Mon-Sat  9am-5pm, Sunday  9am-4pm",May 1-November 30,P/M,Y,Y,N,Y,42.54525,-75.52498,"(42.54525, -75.52498)"
Otsego,Richfield Springs Area Thurs Farmers' Market,"Spring Park Main St. (Rt. 20), across from Post Office",Main St and Church St,Richfield Springs,NY,13439,Ronald Bayzon,3158582703,,Thursday  2pm-6pm,June 25-October 29,M,Y,N,N,Y,42.85341,-74.98506,"(42.85341, -74.98506)"
Saratoga,Poverty Acres Farm Stand,129 Hop City Rd.  Ballston Spa,129 Hop City Rd.,Ballston Spa,NY,12020,Gaynell Bliss,5189353341,,Daily 10am-5pm,July 15-October 15,M,N,N,N,Y,42.95105,-73.91653,"(42.95105, -73.91653)"
Yates,Yates County Co-op Farm & Craft Market,"""Penn Yan Farmers Market"", Main St. between Jacob & Elm Penn Yan",Main St and Elm St,Penn Yan,NY,14527,Rivka Davis,6072435234,http://www.facebook.com/PennYan.Farmers.Market,Saturday  8am-12pm,May 30-September 5,P/M,Y,N,N,Y,42.66095,-77.05365,"(42.66095, -77.05365)"
Erie,South Buffalo Farmers' Market,Cazenovia Park Casino Buffalo,"Cazenovia Casino, Cazenovia Park",Buffalo,NY,14220,Peggy Shea,7168515169,https://www.facebook.com/SouthBuffaloMarket,Sunday  9am-1pm,June 7-September 27,M,N,N,N,Y,42.847895,-78.805781,"(42.847895, -78.805781)"
Westchester,Peekskill WINTER Farmers' Market,828 Main St Peekskill Parking lot,828 Main St,Peekskill,NY,10566,Corinna Makris,9144184920,http://www.peekskillfarmersmarket.com,Saturday  10am-2pm,December 7-April 24,X/W/P,N,N,N,Y,41.29141,-73.9231,"(41.29141, -73.9231)"
Franklin,JCEO MM-Methodist Church,3909 NY 374 Lyons Mt.,3909 NY 374,Lyons Mt.,NY,12952,Richard LaVigne,5183194028,http://www.jceo.org,Friday 10am-12 noon,June 12-October 16,M,Y,Y,N,Y,44.73223,-73.91025,"(44.73223, -73.91025)"
Kings,Hattie Carthan After Church Farmers' Market,49 Van Buren St. Hattie Carthan Herban Farm Brooklyn,49 Van Buren St,Brooklyn,NY,11221,David Greaves,2125617327,http://www.hattiecarthancommunitymarket.com,Sunday  1pm-6pm,August 4-November 24,M,Y,N,N,Y,40.69024,-73.94359,"(40.69024, -73.94359)"
Suffolk,Flanders Farm Fresh Food Market,"Crohan Community Senior Center, 655 Flanders Road (Rt 24)",655 Flanders Rd,Flanders,NY,11901,Nancy Lynott,6317022417,http://www.southamptontownny.gov,Saturday  10am-1pm,July 4-October 17,M,Y,Y,N,Y,40.90952,-72.63662,"(40.90952, -72.63662)"
Herkimer,Salisbury Farmers' Market,"126 State Route 29A Salibury Center, Town Hall Parking Lot",126 State Route 29A,Salisbury Center,NY,13329,Gina Thompson,3154299102,http://www.facebook.com/salisburyfarmersmarket13454/,Friday  9am-1pm,May 22-October 9,P/M,Y,N,N,Y,43.14304,-74.78544,"(43.14304, -74.78544)"
Saratoga,The Farmer's Wagon Farm Stand,534 Moe Rd @ corner of Grooms Rd  Clifton Park,Grooms Road & Moe Road,Clifton Park,NY,12065,Kevin Bowman,5183712042,,Daily 9am-5pm,May 1-October 31,P/M,Y,N,N,Y,42.84034,-73.79385,"(42.84034, -73.79385)"
Chautauqua,Jamestown Public Market,Cherry St. btwn W 2nd & W 3rd Sts.,Cherry and West 2nd St,Jamestown,NY,14701,Linnea Carlson,7164836405,http://www.jamestownrenaissance.org,Saturday  10am-2pm,June 6-October 31,M,Y,Y,N,Y,42.09567,-79.24234,"(42.09567, -79.24234)"
Madison,Village of Hamilton Farmers' Market,Village Green 3 Broad St.,Broad St and Payne St,Hamilton,NY,13346,Kim Taranto,3158241111,http://www.hamilton-ny.gov,Saturday  8am-1pm,May 9-October 31,P/M,Y,N,N,Y,42.82684,-75.54436,"(42.82684, -75.54436)"
Monroe,Curbside Market-Heritage Gardens,950 Commons Way Rochester 14623,950 Commons Way,Rochester,NY,14623,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Mon 5pm-6pm,July 6-December 14,M/X,Y,Y,N,Y,43.08327,-77.60406,"(43.08327, -77.60406)"
Rensselaer,Veggie Mobile Sprout-Public Library Sr. Ctr,1501 Broadway #1 Watervliet,1501 Broadway,Watervliet,NY,12189,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 2pm-2:45pm,Year-round,YR,Y,Y,Y,Y,42.72629,-73.70008,"(42.72629, -73.70008)"
Orleans,Navarras Farm Market and Greenhouses,3272 Eagle Harbor Road,3272 Eagle Harbor Road,Albion,NY,14411,Amanda Mrzyuka,5855894674,,"Mon-Sat 9am-8pm, Sunday 9am-5pm",Year-Round,YR,N,N,N,Y,43.18941,-78.25422,"(43.18941, -78.25422)"
New York,92nd Street Greenmarket,1780 1st Ave. at E 92nd st,East 92nd St and First Ave,New York,NY,10128,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sunday  9am-4pm,June 21-November 22,M,Y,Y,N,Y,40.78071,-73.94658,"(40.78071, -73.94658)"
Westchester,Dobbs Ferry Farm Stand,Cedar & Main St. Dobbs Ferry,Cedar St and Main St,Dobbs Ferry,NY,10522,Nancy Chiocchi,9149499403,,Friday  10am-4pm,June 7-November 22,M,Y,N,N,Y,41.01628,-73.87365,"(41.01628, -73.87365)"
Kings,McGolrick Park Farmers' Market,"130 Russell St. Brooklyn, Center Pavillion in McGolrick Park",130 Russell Street,Brooklyn,NY,11222,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Sunday  10am-3pm,May17-December 20,P/M/X,Y,Y,N,Y,40.72483,-73.94432,"(40.72483, -73.94432)"
Erie,Bowman Farms Farm stand,11259 Gowanda State Rd. North Collins,11259 Gowanda State Rd.,North Collins,NY,14111,Susan Bowman,7163372695,http://www.bowmanfarmsinc.com,Daily  9am-5pm,June-October,M,Y,Y,N,Y,42.57506,-78.93838,"(42.57506, -78.93838)"
Genesee,LeRoy Farmers' Market,Trigon Park Route 5 (Main St.),Trigon Park,Le Roy,NY,14482,Mary Margaret Ripley,5852972441,http://www.leroyfarmersmarket.wordpress.com,Saturday  9am-12:30pm,June 13-October 3,M,Y,N,N,Y,42.97756,-77.98592,"(42.97756, -77.98592)"
Monroe,Curbside Market-Seneca Towers,200 Seth Green Dr Rochester,200 Seth Green St,Rochester,NY,14621,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Mon 1:15pm-2:30pm,July 6-December 14,M/X,Y,Y,N,Y,43.1904,-77.61943,"(43.1904, -77.61943)"
Tompkins,Trumansburg Farmers' Market,69-71 W Main St. Trumansburg,69-71 W Main St.,Trumansburg,NY,14886,Victoria Badalmenti,6073876501,http://www.tburgfarmersmarket.com,Wednesday  4pm-7pm,May 6-October 28,P/M,Y,N,N,Y,42.54349,-76.6675,"(42.54349, -76.6675)"
Genesee,Curbside Market-400 Towers,100 E Main St St. Batavia,400 East Main St.,Batavia,NY,14020,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Mon 12:30pm-1:30pm,July 6-December 14,M/X,Y,Y,N,Y,42.99659,-78.17634,"(42.99659, -78.17634)"
Rensselaer,Veggie Mobile Sprout-Mayor John Warden Apts,85 Aiken Ave Rensselaer,85 Aiken Ave,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 2:15pm-3pm,Year-round,YR,Y,Y,Y,Y,42.63326,-73.73991,"(42.63326, -73.73991)"
Niagara,North Tonawanda City Tue Farmers' Market,Robinson Rd. & Payne Ave.,310 Robinson Road,North Tonawanda,NY,14120,Matt Parrish,7166958555,http://www.northtonawanda.org/Departments/City%20Market.htm,Tuesday  7am-1pm,Year-round,YR,Y,N,N,Y,43.03377,-78.87021,"(43.03377, -78.87021)"
Monroe,Rochester Public Market -Thursday,280 N. Union St. off East Main St.,280 North Union St.,Rochester,NY,14609,Cindy De Coste,5854286907,http://www.cityofrochester.gov/publicmarket,Thursday  6am-1pm,Year-round,YR,Y,Y,Y,Y,43.1657,-77.59016,"(43.1657, -77.59016)"
Erie,Clarence Hollow Farmers' Market,10717 Main St. Bike Path pkng lot Clarence,10717 Main St,Clarence,NY,14031,Cheryl Anthony,7167591075,http://www.clarencefarmersmarket.com,Saturday  8am-1pm,June 6-October 31,M,Y,N,N,Y,42.9808,-78.58904,"(42.9808, -78.58904)"
Franklin,JCEO MM-Trails at Malone,156 Falling Leave Dr. Malone,166 Falling Leave Dr.,Malone,NY,12953,Richard LaVigne,5183194028,http://www.jceo.org,Wednesday 10am-12pm,June 10-October 14,M,Y,Y,N,Y,44.83505,-74.2986,"(44.83505, -74.2986)"
St. Lawrence,Potsdam Farmers' Market,Main St. near Ives Park adjacent to Clarkson Inn,Main St and Union St,Potsdam,NY,13676,Jennifer McAvoy,3155282454,http://www.facebook.com/thepotsdamfarmersmarket,Saturday  9am-2pm,May 9-October31,P/M,Y,Y,N,Y,44.66865,-74.98493,"(44.66865, -74.98493)"
Orange,Goshen Farmers' Market,"Goshen Village Square , Main at South Street",Main St and Church St,Goshen,NY,10924,Chris Wilson,8452947741,http://www.goshennychamber.com,Friday  10am-5pm,May 22-October 30,P/M,Y,N,N,Y,41.40219,-74.32408,"(41.40219, -74.32408)"
Kings,Red Hook Farm Stand I,"560 Columbia St. , Near the BASIS Independent School",560 Columbia St,Brooklyn,NY,11231,Saara Nafici,3475136774,http://www.added-value.org/farmers-market,Saturday  10am-3pm,June 20-November 21,M,Y,Y,N,Y,40.67237,-74.00884,"(40.67237, -74.00884)"
Erie,Common Roots Urban Farm Stand,309 Peckham St Buffalo,309 Peckham St,Buffalo,NY,14206,Terra Dumas,7162929109,http://www.commonrootsurbanfarm.com,Saturday 11am-3pm,June 6-October 3,M,Y,Y,N,Y,42.88783,-78.84284,"(42.88783, -78.84284)"
Kings,Flatbush Junction  GrowNYC Farm Stand,Flatbush & Nostrand Aves.,Flatbush Ave and Nostrand Ave,Brooklyn,NY,11210,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Saturday  9am-2pm,July 18-November 21,M,Y,Y,N,Y,40.63286,-73.9477,"(40.63286, -73.9477)"
Kings,Kensington  GrowNYC Farm Stand,McDonald Ave. and Albermarle Rd,Fort Hamilton Pkwy and East 5th St,Brooklyn,NY,11218,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Saturday  8:30am-3pm,July 18-November 21,M,Y,Y,N,Y,40.64917,-73.97659,"(40.64917, -73.97659)"
Sullivan,Callicoon Farmers' Market,Callicoon Creek Park  A Dorrer Drive,A Dorrer Drive,Callicoon,NY,12723,Eugene Thalmann,6313327948,http://www.callicoonfarmersmarket.org,Sunday  11am-2pm,March 22-November 29,P/M,Y,N,N,Y,41.76559,-75.05797,"(41.76559, -75.05797)"
Monroe,South Wedge Farmers' Market,357 Gregory St Rochester,151 Mt. Hope Ave,Rochester,NY,14620,Joan Brandenburg,5852561740,http://www.swfm.org,Thursday  4pm-7pm,June 18-September 18,M,N,Y,N,Y,43.1464,-77.60882,"(43.1464, -77.60882)"
Onondaga,Downtown Syracuse Farmers' Market,100 Clinton Square,Clinton St and Water St,Syracuse,NY,13202,Charles McFadden,3154228284,http://www.downtownsyracuse.com,Tuesday  7am-3pm,June 6-October 13,M,Y,Y,N,Y,43.05054,-76.15354,"(43.05054, -76.15354)"
Nassau,Seaford Farmers' Market,"Seaford Railroad Station 3rd Parking lot, Sunrise Highway & Washington St.",Sunrise Highway and Washington St.,Seaford,NY,11783,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Saturday  7am-12pm,June 6-November 21,M,Y,N,N,Y,40.67572,-73.48657,"(40.67572, -73.48657)"
Westchester,White Plains (International) Wed Farmers' Market,125 Court St.  btwn Martine Ave. & Main St.,125 Court St,White Plains,NY,10601,Metin Erinc,4845603606,http://www.whiteplainsfarmersmarket.com,Wednesday  9am-2pm,May27-November 25,P/M,Y,N,N,Y,41.02944,-73.76659,"(41.02944, -73.76659)"
Clinton,Prays Family Farm Stand-Plattsburgh,605 State Route 3 Plattsburgh,605 State Route 3,Plattsburgh,NY,12944,Darcy Pray,5188347437,,Daily 9am-4pm,Year-round,YR,Y,N,N,Y,44.6948,-73.5069,"(44.6948, -73.5069)"
Niagara,Veggie Van MM-JD Senior Center,1201 Hyde Park Niagara Falls,1201 Hyde Park,Niagara Falls,NY,14301,Jen Regan,7162990905,http://www.facebook.com/CHPNiagara/?ref=hl,Thu 11:30am-12:30 pm,June 1-October 31,M,Y,Y,N,Y,43.09992,-79.02631,"(43.09992, -79.02631)"
Saratoga,Saratoga WINTER Farmers' Market,"Wilton Mall 3065 NY-50 Saratoga Springs, In Parking lot near Bon-Ton",3065 NY-50,Saratoga Springs,NY,12866,Justine Denison,5186642510,http://www.saratogafarmersmarket.org/saratoga-farmers-market/,Saturday  9:30am-1:30pm,"November 2-May 16,2020",M/X/W/P,N,N,N,Y,43.06464,-73.79044,"(43.06464, -73.79044)"
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,YR,Y,Y,Y,Y,42.65998,-73.77276,"(42.65998, -73.77276)"
Oneida,Remsen Farmers' Market,10613 Depot Street,10613 Depot Street,Remsen,NY,13438,Erin Corrigan,3157902435,,Saturday 9am-1pm,June 20-October 17,M,N,N,N,Y,43.32853,-75.18683,"(43.32853, -75.18683)"
New York,Tribeca Greenmarket Saturday,315 Greenwich St. at Chambers St,Greenwich St and Chambers St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/tribeca-sa,Saturday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.7163,-74.01097,"(40.7163, -74.01097)"
Kings,Woodhull Hospital GrowNYC Farm Stand,Marcus Garvey Blvd. and Broadway,Marcus Garvey Boulevard and Broadway,Brooklyn,NY,11206,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Wednesday  9am-2pm,July 15-November 26,M,Y,Y,N,Y,40.70029,-73.94111,"(40.70029, -73.94111)"
Onondaga,Skaeneateles Farmer's Market-Saturday,1 East Austin St. Austin Park Pavilion,1 East Austin Street,Pavilion,NY,13152,Sue Murphy,3157279320,https://www.townofskaneateles.com/,Saturday 10am-1pm,May 23-October 17,P/M,Y,N,N,Y,42.95091,-76.43045,"(42.95091, -76.43045)"
Kings,4th Ave. Sunset Park Greenmarket,60 4th Ave. btwn 59th & 60th Sts.,4th Ave and 60th St,Brooklyn,NY,11220,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Saturday  8am-3pm,July 11-November 21,M,Y,Y,N,Y,40.64081,-74.01836,"(40.64081, -74.01836)"
Onondaga,Emmi's Farm Market-Baldwinsville,1482 West Genesee Rd Baldwinsville,1482 West Genesee Rd.,Baldwinsville,NY,13027,Anthony Emmi,3156357529,http://www.emmifarms.com,"Mon-Sat  10am-6pm, Sunday  10am-3pm",June 10-October 15,M,Y,N,N,Y,43.16899,-76.40302,"(43.16899, -76.40302)"
Onondaga,Central NY Saturday Regional Market Authority,2100 Park St. Syracuse,2100 Park Street,Syracuse,NY,13208,Amanda Vitale,3154228647,http://www.cnyrma.com,Saturday  7am-2pm,Year-round,YR,Y,Y,Y,Y,43.07269,-76.16835,"(43.07269, -76.16835)"
Albany,Veggie Mobile-Creighton Storey Homes,158 3rd Street Albany,158 3rd Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 5pm-5:45pm,Year-round,YR,Y,Y,Y,Y,42.66205,-73.7578,"(42.66205, -73.7578)"
Orange,Montgomery Farmers' Market,110 Bracken Rd Town of Montgomery,110 Bracken Rd,Town of Montgomery,NY,12549,Randi Greene,8452872833,http://facebook.com/tomfarmmarket,Tuesday 9am-2pm,July 7-October 27,M,Y,N,N,Y,41.52115,-74.20015,"(41.52115, -74.20015)"
Ontario,Victor Farmers' Market,Village Hall Parking Lot 60 East Main St.,60 East Main St,Victor,NY,14564,Roseanne Turner-Adams,5859243311,http://www.victorny.org,Wednesday  3pm-6pm,June 3-October 28,M,Y,N,N,Y,42.98236,-77.4088,"(42.98236, -77.4088)"
Westchester,Rye Farmers' Market,"9 Theodore Fremd Ave. Rye , behind Purchase Street Stores",9 Theodore Fremd Ave,Rye,NY,10580,Miriam Haas,9149234837,http://www.downtoearthmarkets.com,Sunday  8:30am-2pm,May 24-December 6,P/M/X,Y,Y,Y,Y,40.98485,-73.68464,"(40.98485, -73.68464)"
